ARQ 	20/09/2021->59 	27/09/2021->48 	04/10/2021->44
IAE 	21/09/2021->3 	28/09/2021->2 	04/10/2021->2
IAG 	21/09/2021->4 	28/09/2021->2 	04/10/2021->2
IEM 	21/09/2021->22 	28/09/2021->21 	05/10/2021->18
IGEM 	22/09/2021->13 	28/09/2021->6 	05/10/2021->6
IGGM 	22/09/2021->14 	28/09/2021->15 	05/10/2021->15
II 	22/09/2021->1 	28/09/2021->1 	05/10/2021->1
IIGM 	22/09/2021->20 	29/09/2021->19 	06/10/2021->20
IIMC 	23/09/2021->17 	29/09/2021->9 	06/10/2021->11
IIMS 	23/09/2021->9 	29/09/2021->1 	06/10/2021->1
IISL 	23/09/2021->22 	29/09/2021->20 	06/10/2021->22
IM 	24/09/2021->7 	30/09/2021->7 	07/10/2021->4
IMA 	24/09/2021->11 	30/09/2021->11 	07/10/2021->10
ISCM 	24/09/2021->4 	30/09/2021->4 	07/10/2021->4
ISCW 	24/09/2021->25 	30/09/2021->25 	07/10/2021->28
LAMK 	25/09/2021->5 	01/10/2021->5 	07/10/2021->5
LANI 	25/09/2021->28 	01/10/2021->28 	08/10/2021->29
MPIA 	25/09/2021->5 	01/10/2021->5 	08/10/2021->5
MPID 	25/09/2021->2 	01/10/2021->2 	08/10/2021->2
MPIS 	25/09/2021->1 	01/10/2021->1 	08/10/2021->1
